,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.6547758130736799,122,45779.62844626991
1,0,1,0.850327873125666,70,39660.0
2,0,2,0.8953390507897154,70,39660.0
3,0,3,0.9311125447125929,63,43927.21408542987
4,0,4,0.8157396789380682,46,39660.0
5,0,5,0.7972245061316114,73,40988.57306637024
6,0,6,0.8681707098499695,63,41646.289542718245
7,0,7,0.7525151550590071,76,39660.0
8,0,8,0.9673417525285486,79,39660.0
9,0,9,0.5220109589287166,81,43001.32200829474
10,0,10,0.9409017189294604,122,39660.0
11,0,11,0.854467418869142,81,41934.961668003954
12,0,12,0.93288755541539,80,39660.0
13,0,13,0.7316086549913398,98,42087.091581644665
14,0,14,0.6710850960175735,76,39660.0
15,0,15,0.8541295032903649,154,41289.608248519544
